proporcion,threshold,pct_detectado_full
1,-0.26,0.0
1,-0.2,0.0
1,-0.15,0.0
1,-0.1,0.0
1,-0.05,0.0
2,-0.26,0.0
2,-0.2,0.0
2,-0.15,5.0
2,-0.1,5.0
2,-0.05,10.0
5,-0.26,0.0
5,-0.2,0.0
5,-0.15,6.0
5,-0.1,6.0
5,-0.05,10.0
10,-0.26,0.0
10,-0.2,0.0
10,-0.15,5.0
10,-0.1,5.0
10,-0.05,8.0
15,-0.26,0.0
15,-0.2,0.0
15,-0.15,4.666666666666667
15,-0.1,4.666666666666667
15,-0.05,7.333333333333333
20,-0.26,0.0
20,-0.2,0.0
20,-0.15,5.0
20,-0.1,5.0
20,-0.05,7.5
25,-0.26,0.0
25,-0.2,0.0
25,-0.15,4.8
25,-0.1,4.8
25,-0.05,7.2
